state_id,dataset,family,seed,task_id,difficulty,ambiguity,drift,retention_pressure,cost_pressure,specialization_need,action,accuracy,retention,stability,cost,cost_good,specialization,future_forgetting,goal,goal_label,score,policy
SplitMNIST_seed0_task1,SplitMNIST,digits,0,1,0.1156408304387371,0.13874287450119005,0.07039288584742817,0.1967933289232454,0.27993992864489575,0.302377879258495,RC2O_static,0.995,0.999,0.9837635547948866,0.4671910043078755,0.6106741630767704,0.4818124878699457,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.7503131983139044,fixed_RC2O_static
SplitFashionMNIST_seed0_task1,SplitFashionMNIST,fashion,0,1,0.3807521821563378,0.46717666120450047,0.1808695683462322,0.4199432028836281,0.3864781342229844,0.6399003384425044,RC2O_static,0.9155642743355761,0.999,0.9628944380745459,0.5601092169629893,0.5332423191975089,0.6280356253769535,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.6547673030880983,fixed_RC2O_static
SplitKMNIST_seed0_task1,SplitKMNIST,characters,0,1,0.4697127088414757,0.34179762127425806,0.20590011227468663,0.4435468756372052,0.44819700435955007,0.6791779298840739,RC2O_static,0.8832078655016291,0.999,0.9668241511306324,0.5845749928016113,0.512854172665324,0.6435008820421162,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.6144189600173753,fixed_RC2O_static
RotatedMNIST_seed0_task1,RotatedMNIST,digits,0,1,0.3146463308271441,0.3200415082748845,0.4499043764199615,0.46608603500679896,0.38304810754680935,0.5089663714789666,RC2O_static,0.9216590075311131,0.999,0.9270814026873122,0.5345017002180062,0.5545819164849948,0.578576235840147,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.6542017850495025,fixed_RC2O_static
PermutedMNIST_seed0_task1,PermutedMNIST,digits,0,1,0.30620350844740607,0.21106340804060866,0.5252767818175056,0.5003298580041625,0.39079667592747497,0.44182189438722463,RC2O_static,0.939600159625098,0.999,0.923852513612841,0.5403902465456057,0.5496747945453285,0.5297615801731032,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.6707717140451417,fixed_RC2O_static
SplitCIFAR10_seed0_task1,SplitCIFAR10,natural-images,0,1,0.5951231963401031,0.5642485168109856,0.369689596676834,0.5708510588190269,0.5682309930521252,0.8229390949639573,RC2O_static,0.8368967388660946,0.999,0.9230627964592786,0.6231936350025524,0.4806719708312063,0.7275130758815801,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.5551488477227888,fixed_RC2O_static
SplitCIFAR100Coarse_seed0_task1,SplitCIFAR100Coarse,natural-images,0,1,0.7891440889045508,0.6550693630389074,0.4404313897209378,0.7220676082286035,0.6244076210190063,0.9984088392064309,RC2O_static,0.7744473400298311,0.999,0.9007443917779925,0.7078514401319509,0.4101237998900409,0.7996526203089416,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.473898475823886,fixed_RC2O_static
SVHNContinual_seed0_task1,SVHNContinual,digits-real,0,1,0.5907885437820896,0.48600740830339945,0.4872015484154762,0.6489232905809461,0.43056991716068865,0.7045170752924451,RC2O_static,0.8503758560264163,0.999,0.9166554486575802,0.6213873195000512,0.48217723374995725,0.6641344318001651,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.5648493038866698,fixed_RC2O_static
SplitMNIST_seed0_task2,SplitMNIST,digits,0,2,0.15015739537106806,0.12839042954153182,0.06453189473949407,0.24627945302147272,0.38476746754935676,0.21538772341289958,RC2O_static,0.9832736256757642,0.999,0.999,0.47582471814528315,0.6034794015455973,0.44641771125738083,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.733681743375003,fixed_RC2O_static
SplitFashionMNIST_seed0_task2,SplitFashionMNIST,fashion,0,2,0.3685302569197805,0.4567965547888964,0.2479400497607773,0.4461506030568815,0.48076073829601057,0.6184799924875616,RC2O_static,0.9079639515759761,0.999,0.9440015262343417,0.560698403947587,0.5327513300436775,0.6328513875341866,0.0010000000000000009,Goal_A_accuracy,Goal A: maximize accuracy,1.6428654401629077,fixed_RC2O_static
